number,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
0,B07TMJ1R3X,"[1852, 1852]",5,"Right up front I want to address the negative reviews that tarnish this product because, as usual, people buy this at a very budget price and expect an iPad or Samsung Tablet. It is NOT an iPad or Samsung, it is an Amazon content delivery device. It is inexpensive because Amazon provides the content and they want you to have a cheap way to enjoy it. It is an E Reader, Music Player, Video Player not a full fledged Android Tablet. Like most Amazon devices it has ads on the lock screen. Any other ads are the fault of the apps. It can be massaged to load apps from Google Play but it wasn't designed for that and results will vary. Expecting this to perform like an iPad or Samsung is wishful thinking of the highest degree. If you can't afford an iPad, don't blame this unit. Don't buy it to do anything but read, listen and watch. I've worn out several of the Fire units over the years and I loved them. They are electronic devices and as such are likely to fail at some point. It's reality. I own 2 iPads as well as This Kindle, an old fire (USB port finally died) and a Kindle Paperwhite. They all serve a purpose. I read constantly and sometimes the Paperwhite is right, Sometimes the Fire is right. The iPads are PC replacements for me and do everything I need to run a small business and record music. I don't expect any of the Kindles to be iPads. Warranty is commensurate with value. 90 days is enough to verify operation. After 90 days you're just unlucky or you dropped the unit so many times it gave up. iPads have a 1 year warranty and you pay for it. My last iPad cost me over $500. I expect a lot more from it than I do a Kindle. I apologize for ranting but it sucks that good products suffer because of bad expectations. A Kindle Fire is a great device for what it was intended to do. I don't really like backlit screens for reading, but sometimes they're desirable. I can watch Movies, Listen to Audiobooks, Listen to music, Stream content and read books and magazines. All on one device that has a screen I don't have to squint at to enjoy. All for a very reasonable price. I had some A-hole grab my fire and run while I was getting a drink refill and it wasn't a nightmare... like if he had run off with my iPad. Buy this for what it is, don't complain about what it isn't.","06 30, 2020",R3QL2UQWTSMS7J,Amazon Customer,"It's a Kindle, with a color screen.",1593446400
1,B07TMJ1R3X,"[1835, 1835]",5,"The media could not be loaded.
I enjoy reading books and watching videos on my new Kindle.

- Screen and Size:
I appreciate the form factors -- it has sufficient screen size for my use but also very portable to carry around. The display quality of the 8 inch screen is great, everything is crisp and sharp. For me it is the most important thing. It's a great content consumption device which provides excellent reading experience similar to my old Paperwhite.

- Speed
The marketing material says 30%. Honestly it doesn't matter for my use.
It is smooth enough for web browsing.

- Battery Life:
It claims up to 12 hours of battery life, which impressive for tablet this size.
Based on my initial impression, it is probably true.I will come back to update this review later about my real-world usage.

- Charging
Type-C port! No more micro-USB!
According to the specifications, charging time is 5 hours.
Get a more powerful charger and I think this regular HD 8 will charge up just as fast as the more expensive Fire HD 8 Plus, if not faster!
In my video review, I used a type-c PD charger that delivers 14.12 watts of power when the tablet is around 68% battery. With the included charger, it was only able to deliver 5 watts. I won’t be surprised it can be charged from 0 to 100% under 3 hours!

- Storage:
It supports 1TB of additional storage! I I bought the 32GB version, put in 64GB SD card and plan to get a larger one in the future for movie storage.

- Capable of enabling Alexa, with on/off toggle.
It works but I don't use Alexa much.","06 10, 2020",R3EMO2UBJ0J2VL,Tools. Electro. DIY Tools. Electro. DIY,"Great tablet (Amazon, why was my first review removed?)",1591718400
2,B07TMJ1R3X,"[1662, 1662]",1,"We bought this kindle for my son this past Christmas and the screen glitches. Whenever it’s turned on every few seconds the screen will go black and then turn back on. It doesn’t matter if it’s on the home screen or in an app. My son tried to use this kindle many times during “homeschooling�?and it would not work. Because of COVID it took me awhile to get to costumer service as this problem has been going for a few months. Once I was able to talk with someone they told me that because it was purchased through Target they are not responsible for replacing it. This doesn’t make since to me as it’s an amazon product.
Years ago I had a problem with my iPad. I contacted Apple not the store that I purchased it from (which was also Target). They spent time on the phone with me and tried to fix my device. When they couldn’t they sent me a new device since the iPad wasn’t even a year old.
I guess you get what you pay for and I payed for junk and received crap costumer service. I know we’re I’ll be purchasing my kids next device from. I would give this Kindle 0 stars and Costumer Service a 0 rating as well for not even trying to trouble shot the problem. I wonder if I call Target if they have techs to help determine the problem. I doubt it since it’s an Amazon product.","06 03, 2020",R3HPDZBVAQZZ5R,Kerri Hanse,Bad Costumer Service for a broken Kindle,1591113600
3,B07TMJ1R3X,"[1256, 1256]",5,"First of all, this isn’t an iPad, not even in competition with one so don’t compare it to that. I view the fire tablet line to be solely for media consumption in which they excel at. They’re a great starter tablet for younger kids and teens because of the price and durability.

Packaging was simple with minimal plastic. Setup took a few seconds with an available amazon account.

The tablet itself is light and portable. The screen looks good and the sound comes out fine although not as loud as I would like. The volume is better when using headphones. Bluetooth pairing is also really quick and reliable.

I use this tablet mainly for reading kindle books and magazines and browsing the amazon app. I also watch Netflix and Hulu and YouTube with ease.

I couldn’t care less about google play store because I was able to download all the apps I frequently use on the device for free. I do know that you can add google play store if you so desired so there’s no problem there.

I don’t use the tablet to game so I can’t speak on that aspect but overall, as a budget tablet I like using the fire hd 8 a lot when I need to go out and don’t want to lug around my heavier and more expensive iPad.

I don’t care for the camera on this tablet but it’s not bad in its own right. The camera on this tablet is mediocre but gets the job done and your expectations for it shouldn’t be that high to begin with in all honesty. A better camera will drive up the price and just how often do you actually use it should be a question you genuinely ask yourself before you start docking stars for the camera.

This is a great little device for media consumption if you want a bigger screen to work with than your regular-degular smart phone. HIGHLY recommend for media consumption and kindle reading. Super affordable, comfortable to hold thanks to the larger uniform bezels and portable for on the go usage. Battery life is also great considering the brightness levels I keep it at and charged via USB TYPE C which is a bonus.","06 15, 2020",RYP6LE0E6NVZG,seRAEtonin seRAEtonin,Love it!,1592150400
4,B07TMJ1R3X,"[656, 656]",1,"I bought this tablet thinking it would be an improvement over older models. Yes it's a bit faster than the previous model, but still frustratingly slow when compared to current generation tablets from competitors.

Yes this runs on Android, but the user interface is totally modified by Amazon, and you cannot remove/hide apps, screens that you don't use. For example, ""Books"", ""Newsstand"", ""Audible"", and ""Music"" are all areas I don't use, but there's no way to hide these screens. They just clutter space on my screen, and makes using the tablet more frustrating.

Also, you cannot install Google Chrome. Instead, you need to use Amazon's web browser, ""Silk"", which I'm not familiar with, and would much rather not have to use a totally separate browser for this tablet, when i use Chrome on all other devices I have.

You also cannot use the Google Play Store app to download any apps that are not available in Amazon's selection.","06 05, 2020",RXFILSDEZ127G,Dave,"Still slow, clunky with very few options for customization.",1591286400
5,B07TMJ1R3X,"[524, 524]",3,"Well like the headline says, the product itself seems to be working fine thus far. I have side loaded a few apps as I intend to install the Google Play Store and Services at a later date. But so far I have not run into any performance related issues. The reason for the 3 star review is because of their scummy mobile app monetization with their special offers. Now I knew full well going into my purchase what the deal was but I don't understand why I should have to pay an additional $20-30 to have ads removed when everything else about the tablet is the same from a hardware perspective. Its like when you download a free-to-play game or app but then you can pay to remove ads except the game itself is still free. The difference being that usually buying the paid version of an app is I would say maybe $10 or so generally. And also often times paying for an app also gives you access to additional features. But in this case we have to pay $20-30 to remove the annoying lock screen ads and get nothing extra for that payment. Now I may sound stupid complaining about a potentially trivial matter for most people but its just annoying to me and I don't think its a good business practice. Like, is Amazon not going to sell enough of these so they need money from advertisers to afford the cost of producing them? Sorry for ranting on so long but just wanted to give my two cents.","06 06, 2020",R10L5WTK7MHHEO,Amazon Customer,"Product Fine, Scummy Monetization",1591372800
6,B07TMJ1R3X,"[394, 394]",1,"There’s an advertisement every time I turn it on, and you’re stuck in Amazon world with this thing. I can’t download my public library’s app or my work-out app. It’s inexpensive because you’ll be nickel and dimed, and pushed into a corner!","06 14, 2020",RMVIR72MIFZMA,BearBait,Inexpensive because they’ve got you ...,1592064000
7,B07TMJ1R3X,"[308, 308]",5,"I'm an avid reader and prior to COVID-19, I went to flea markets and yard sales and stocked up on paperbacks on a regular basis. But I'm a quadruple high risk person for getting COVID-19 so flea markets are out of the question for months to come. I never thought I would like reading from a Tablet. After all.... it's not a ""book""! But I have to tell you, I LOVE my Fire HD 8! When I started to run out of my paperback stash, I was panicking! My son talked me into ordering the new Fire HD 8 and my life has changed. The size of my Fire HD 8 is much like a paperback book so I find it comfortable to hold. The battery life is amazing and it charges very quickly when I need to charge it. I also love the way you can change the screen to varying comfortable intensities of light and background color. Plus....I love that I can adjust the font and the size of the font to one that suits me best. This is one of the best purchases I've made in a long time and ultimately I'll be saving money as there are hundreds of FREE books online! Truly, I am grateful to have found this wonderful tool!","06 27, 2020",R2B5VYR1GY7SKI,earthdancer,I love my new Fire HD 8!,1593187200
8,B07TMJ1R3X,"[178, 178]",1,"Absolutely not! In fact I was so displeased I returned it! My messenger program never would act right n little by little all of the other icons on my app stopped working correctly! I talked with three different agents who tried to make it operate correct n reset all my settings but nothing helped!
So I decided to return it! But I agreed to allow you to replace it hoping that it was just a glitch in this one. If the next one operates as poorly as this one did I will be returning it also! Totally NOT recommending this dud to anyone!","06 13, 2020",R1HXZOK7PKEKDA,Janette M. Hill,Fire HD 8 tablet don't buy it!,1591977600
9,B07TMJ1R3X,"[150, 150]",1,"The media could not be loaded.
Video freezes repeatedly while sound continues . What a piece of crap this 2020 HD8 release is. I'm not waiting to see what else is wrong, this is going back.

I have had the last 3 Kindle Fire versions which were all wonderful. Amazon has really screwed up this time.

Since I posted this review someone from Amazon Customer Service called me on my personal phone to discuss my review
WTF ? Where did they even get the number?? Not Acceptable At All !!!! I think they might be trying to remove bad reviews.

Update: the replacement arrived. It also freezes up video while audio continues when playing Prime Video. See the video I sent. Second one is going back, Customer Product Support could not fix 7/16/2020.

Update - I received my 3rd one yesterday, replaced twice.Amazon Video freezes up after a few minutes every time. I installed Netflix and it plays video fine. My 2 other Fires and 2 fire sticks stream video fine.

Only my purchases Amazon digital content and Prime Video content freezes up. I have spent over two hours total so far trying to get support with this single, identifiable issue. I DO NOT NEED to restart my router, Amazon.

They won't let me post multiple videos of the freeze ups here. Hmmmm.

I challenge Amazon to support this product. The Amazon video app works everywhere else but not on this product.

Where do you want me to send the videos?

Update 7/22 I returned #3 for a refund. Almost an hour on the phone w ""tech support"" yesterday, nothing, held on for 20 mins. Nothing.

I'm sad, I have loved my other five Kindles/Fires to death. But Amazon has jumped the shark. This product is trash that wasn't ready to market.","07 03, 2020",R2LW4ORNWC7C3K,Amazon Customer,DON'T BUY IT Time waster 3 duds no tech support.,1593705600
